Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Campo Grande;1;0;0;40;480.0;0.0;0.0;12.0;Apartmento
Apartamento;Campo Grande;2;0;0;60;800.0;0.0;0.0;13.33;Apartmento
Casa;Vila da Penha;3;1;1;80;1510.0;0.0;0.0;18.88;Casa
Casa de Vila;São Cristóvão;3;1;1;65;1700.0;0.0;15.0;26.15;Casa
Casa;Anchieta;2;1;0;80;700.0;0.0;0.0;8.75;Casa
Casa de Condomínio;Glória;4;3;2;600;20000.0;0.0;979.0;33.33;Casa
Apartamento;Copacabana;1;0;0;40;4500.0;0.0;0.0;112.5;Apartmento
Casa;Santa Teresa;2;0;0;100;1650.0;0.0;35.0;16.5;Casa
Casa;Vila Valqueire;2;2;0;80;1100.0;0.0;13.0;13.75;Casa
Casa;Campo Grande;2;1;0;70;1200.0;0.0;0.0;17.14;Casa
Casa de Vila;Engenho de Dentro;1;0;0;32;700.0;0.0;17.0;21.88;Casa
Casa;Jardim Botânico;5;4;4;845;35000.0;0.0;16422.0;41.42;Casa
Casa;Recreio dos Bandeirantes;4;3;1;633;6000.0;0.0;2700.0;9.48;Casa
Apartamento;Campo Grande;1;0;0;50;550.0;0.0;0.0;11.0;Apartmento
Casa;Rio Comprido;2;0;0;250;5000.0;0.0;3800.0;20.0;Casa
Casa;Vila Kosmos;2;1;0;113;1800.0;0.0;0.0;15.93;Casa
Casa;Santa Teresa;3;1;1;133;2500.0;0.0;0.0;18.8;Casa
Casa de Vila;Bento Ribeiro;1;0;0;40;600.0;0.0;0.0;15.0;Casa
Apartamento;Senador Vasconcelos;1;1;0;40;690.0;0.0;0.0;17.25;Apartmento
Casa;Vila da Penha;4;1;1;270;3500.0;0.0;0.0;12.96;Casa
Flat;Copacabana;1;1;1;60;4000.0;0.0;0.0;66.67;Apartmento
Casa;Botafogo;2;1;0;80;3300.0;0.0;600.0;41.25;Casa
Apartamento;Campo Grande;2;1;0;54;1000.0;0.0;0.0;18.52;Apartmento
Apartamento;Vila da Penha;3;0;1;95;1800.0;0.0;0.0;18.95;Apartmento
Casa;Jardim Botânico;4;4;4;452;20000.0;0.0;0.0;44.25;Casa
Apartamento;Todos os Santos;1;0;0;40;900.0;0.0;34.0;22.5;Apartmento
Apartamento;Copacabana;1;0;0;80;3500.0;0.0;0.0;43.75;Apartmento
Apartamento;Irajá;2;0;0;40;1150.0;0.0;0.0;28.75;Apartmento
Casa de Condomínio;Barra da Tijuca;4;2;4;300;9000.0;0.0;0.0;30.0;Casa
Flat;Ipanema;1;0;0;46;6000.0;0.0;0.0;130.43;Apartmento
Casa de Condomínio;Realengo;1;0;0;60;700.0;0.0;0.0;11.67;Casa
Flat;Barra da Tijuca;1;1;1;75;2200.0;0.0;700.0;29.33;Apartmento
Apartamento;Bangu;2;1;0;65;900.0;0.0;100.0;13.85;Apartmento
Casa de Condomínio;Recreio dos Bandeirantes;3;2;3;168;4500.0;0.0;0.0;26.79;Casa
Apartamento;Jardim Botânico;3;0;0;115;4500.0;0.0;230.0;39.13;Apartmento
Casa;Tauá;2;0;0;160;2000.0;0.0;1200.0;12.5;Casa
Casa;Santa Teresa;6;2;0;381;9000.0;0.0;186.0;23.62;Casa
Apartamento;Ilha do Governador;1;0;0;71;1000.0;0.0;0.0;14.08;Apartmento
Apartamento;Recreio dos Bandeirantes;3;2;1;140;3500.0;0.0;0.0;25.0;Apartmento
Apartamento;Barra da Tijuca;2;1;2;100;14000.0;0.0;0.0;140.0;Apartmento
Apartamento;Campo Grande;2;1;0;47;800.0;0.0;0.0;17.02;Apartmento
Casa de Vila;Cascadura;1;0;0;36;700.0;0.0;0.0;19.44;Casa
Casa de Vila;Cascadura;3;0;0;90;1200.0;0.0;0.0;13.33;Casa
Casa;Cordovil;1;0;0;65;650.0;0.0;0.0;10.0;Casa
Apartamento;Quintino Bocaiúva;2;0;0;90;1200.0;0.0;0.0;13.33;Apartmento
Casa;Barra da Tijuca;6;6;6;610;20000.0;0.0;400.0;32.79;Casa
Casa;Campo Grande;4;1;4;386;2400.0;0.0;0.0;6.22;Casa
Apartamento;Bangu;2;0;0;60;800.0;0.0;0.0;13.33;Apartmento
Apartamento;Tijuca;3;0;0;147;1900.0;0.0;172.0;12.93;Apartmento
Casa;Pavuna;2;0;0;70;900.0;0.0;0.0;12.86;Casa
Casa;Curicica;1;0;0;160;5500.0;0.0;0.0;34.38;Casa
Casa;Pitangueiras;3;1;2;360;3200.0;0.0;0.0;8.89;Casa
Apartamento;Copacabana;1;0;1;38;4000.0;0.0;0.0;105.26;Apartmento
Casa;Campo Grande;2;1;0;60;800.0;0.0;0.0;13.33;Casa
Apartamento;Copacabana;1;0;0;40;2700.0;0.0;0.0;67.5;Apartmento
Flat;Ipanema;1;0;0;46;6000.0;0.0;0.0;130.43;Apartmento
Apartamento;Ipanema;2;1;1;86;10000.0;0.0;0.0;116.28;Apartmento
Casa;Tijuca;5;1;0;139;3500.0;0.0;545.0;25.18;Casa
Casa de Condomínio;Barra da Tijuca;4;4;4;700;20000.0;0.0;0.0;28.57;Casa
Casa de Condomínio;Guaratiba;2;1;0;50;850.0;0.0;0.0;17.0;Casa
